0	BR65472
1	BR51623	<class 'aiohttp.client_exceptions.ClientResponseError'> - '403, message='Forbidden', url='http://ir.clearwaterpaper.com/annuals.cfm'': 'http://ir.clearwaterpaper.com/annuals.cfm'
1	BR52824	Wrong content-type 'text/html' for 'http://india-consumer.gsk.com/en-in/investor-relations/business-responsibility-report/report/'
1	BR56493	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://vallibelone.com/pdf/other_annualreports/fortress_resorts_plc_annual_report_2016-17.pdf'': 'http://vallibelone.com/pdf/other_annualreports/fortress_resorts_plc_annual_report_2016-17.pdf'
1	BR52925	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://www.greif.com/binaries/content/documents/greifcms/content/people--planet/sustainability-reports/2016-report/2016-report/greifcms:content_attachment'': 'http://www.greif.com/binaries/content/documents/greifcms/content/people--planet/sustainability-reports/2016-report/2016-report/greifcms%3Acontent_attachment'
1	BR58716	Wrong content-type 'text/html' for 'http://www.crc.com.hk/responsibility/report/sbureport/201808/P020180810393800243811.pdf'
1	BR57734	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://www.aminerals.cl/media/5649/antofagasta-minerals_reporte-sustentabilidad_2017.pdf'': 'http://www.aminerals.cl/media/5649/antofagasta-minerals_reporte-sustentabilidad_2017.pdf#page=117'
1	BR69680	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://www.clearwaterpaper.com/sustainability/reports/2020-GRI-Index.pdf'': 'http://www.clearwaterpaper.com/sustainability/reports/2020-GRI-Index.pdf'
1	BR62243	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://www.repsol.com/imagenes/global/en/2017_sustainability_report_tcm14-130393.pdf'': 'https://www.repsol.com/imagenes/global/en/2017_sustainability_report_tcm14-130393.pdf'
1	BR66006	Wrong content-type 'text/html' for 'https://www.glanbia.com/~/media/Files/G/Glanbia-Plc/documents/2019/sustainability-report-2018.pdf'
1	BR60100	Wrong content-type 'text/html' for 'http://grupoherdez2017.com/en/gri-platform-2/'
1	BR65793	Wrong content-type 'text/html' for 'http://csr.firstholding.com.tw/en/doc/flippage/#p=225'
1	BR54754	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='File not found', url='https://www.nobina.com/globalassets/old/dokument/arsredovisningar/engelska/nobina_ar16-17_eng.pdf'': 'http://www.nobina.com/globalassets/old/dokument/arsredovisningar/engelska/nobina_ar16-17_eng.pdf'
1	BR51683	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='http://www.ecoara.org/uploads/documentos/documentos_MEMORIA_SOCIAL_CORPORATIVA_2016_e8806eff.pdf'': 'http://ecoara.org/uploads/documentos/documentos_MEMORIA_SOCIAL_CORPORATIVA_2016_e8806eff.pdf'
1	BR59259	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://dovalue.it/sites/default/files/4%20-%20DICHIARAZIONE%20CONSOLIDATA%20NON%20FINANZIARIA.pdf'': 'https://www.dovalue.it/sites/default/files/4%20-%20DICHIARAZIONE%20CONSOLIDATA%20NON%20FINANZIARIA.pdf'
1	BR60558	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://www.imtech.co.uk/wp-content/uploads/2018/07/CSR-Report-2017.pdf'': 'http://www.imtech.co.uk/wp-content/uploads/2018/07/CSR-Report-2017.pdf'
1	BR62435	time-out for 'https://reports.sato.fi/annualreport2017/sustainability-gri-report/gri-index' Connection timeout to host https://reports.sato.fi/annualreport2017/sustainability-gri-report/gri-index
1	BR52525	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://www.fimalac.com/items/files/921f840a4c7fc114a8e7516c7081b987_FimalacRapportannuel2016.pdf'': 'http://www.fimalac.com/items/files/921f840a4c7fc114a8e7516c7081b987_FimalacRapportannuel2016.pdf'
1	BR50605	Wrong content-type 'text/html' for 'https://www.atria.fi/en/group/corporate-responsibility/corporate-responsibility-reporting/'
1	BR68368	<class 'aiohttp.client_exceptions.ClientConnectorDNSError'> - 'Cannot connect to host annualreport.sobi.com:80 ssl:default [getaddrinfo failed]': 'http://annualreport.sobi.com/pdf/full.9079b7b.pdf#page=1'
1	BR69612	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://www.calstrs.com/sites/main/files/file-attachments/sustainability-report-2019.pdf'': 'https://www.calstrs.com/sites/main/files/file-attachments/sustainability-report-2019.pdf'
1	BR50064	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://www.standardlifeaberdeen.com/__data/assets/pdf_file/0015/19140/corporate_sustainability_stewardship_report_2017.pdf'': 'https://www.standardlifeaberdeen.com/__data/assets/pdf_file/0015/19140/Corporate_Sustainability_Stewardship_Report_2017.pdf'
1	BR60323	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://www.hikma.com/media/2123/cop-2017-final.pdf'': 'https://www.hikma.com/media/2123/cop-2017-final.pdf'
1	BR64273	<class 'aiohttp.client_exceptions.ClientResponseError'> - '403, message='Forbidden', url='https://www.aramex.com/docs/default-source/resourses/aramex_annual_report_2018_en.pdf'': 'https://www.aramex.com/docs/default-source/resourses/aramex_annual_report_2018_en.pdf'
1	BR58512	<class 'aiohttp.client_exceptions.ClientConnectorDNSError'> - 'Cannot connect to host sustainability.cathaypacific.com:443 ssl:default [getaddrinfo failed]': 'https://sustainability.cathaypacific.com/wp-content/uploads/2018/05/2017_CX-SDR_FullEN.pdf'
1	BR66438	<class 'aiohttp.client_exceptions.ClientConnectorDNSError'> - 'Cannot connect to host ar2018.mrsk-sib.ru:443 ssl:default [getaddrinfo failed]': 'https://ar2018.mrsk-sib.ru/download/full-reports/ar_ru_annual-report_pages.pdf'
1	BR62089	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://raportcsr.providentpolska.pl/wp-content/themes/provident/docs/20180810RaportCSR201620171.pdf'': 'http://raportcsr.providentpolska.pl/wp-content/themes/provident/docs/20180810RaportCSR201620171.pdf'
1	BR68929	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://upeace.org/files/Student%20Life/Green%20Office%20Environmental%20Impact%20Report%202018-2019.pdf'': 'https://www.upeace.org/files/Student%20Life/Green%20Office%20Environmental%20Impact%20Report%202018-2019.pdf'
1	BR65538	file exception for 'https://www.electrica.ro/wp-content/uploads/2019/06/Electrica_RS2018_ro.pdf' int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
1	BR64585	file exception for 'https://www.belfius.be/about-us/dam/corporate/investors/ratios-en-rapporten/belfius-reports/en/bel_RA_2018_en.pdf' int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
1	BR61262	Wrong content-type 'text/html' for 'https://company.marc-o-polo.com/fileadmin/user_upload/10_190403_MOP_NHB_DE_2018.pdf'
1	BR57893	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://www.atria.fi/contentassets/1740f051b2664d548f0916c1f8f2d796/atria_csr_report_2017_final.pdf'': 'https://www.atria.fi/contentassets/1740f051b2664d548f0916c1f8f2d796/atria_csr_report_2017_final.pdf'
1	BR62737	<class 'aiohttp.client_exceptions.ClientResponseError'> - '403, message='Forbidden', url='https://www.skandia.se/globalassets/pdf/om-skandia/hallbarhet/skandia_hallbarhetsredovisning_2017_engb.pdf'': 'https://www.skandia.se/globalassets/pdf/om-skandia/hallbarhet/skandia_hallbarhetsredovisning_2017_engb.pdf'
1	BR63945	file exception for 'https://www.skupinazse.sk/documents/10096/Zapadoslovenska-energetika_AR_FS_2017' int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
1	BR64374	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://www.audi.com/content/dam/gbp2/company/sustainability/downloads/sustainability-reports/sustainability-report-2018-audi.pdf'': 'https://www.audi.com/content/dam/gbp2/company/sustainability/downloads/sustainability-reports/sustainability-report-2018-audi.pdf'
1	BR69653	Wrong content-type 'text/html' for 'https://www.cpgroupglobal.com/sustainability'
1	BR52851	Wrong content-type 'text/html' for 'https://www.godrejinterio.com/Godrejinterio/pdf/Interio_Sustainability_Report.pdf'
1	BR67087	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://www.marshmclennan.com/web-assets/Files/2019%20Corporate%20Citizenship%20Report.pdf'': 'https://www.mmc.com/content/dam/mmc-web/Files/2019%20Corporate%20Citizenship%20Report.pdf'
1	BR51140	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='http://phx.corporate-ir.net/External.File?item=UGFyZW50SUQ9MzcxMjg1fENoaWxkSUQ9LTF8VHlwZT0z&t=1&cb=636258761603192812'': 'http://phx.corporate-ir.net/External.File?item=UGFyZW50SUQ9MzcxMjg1fENoaWxkSUQ9LTF8VHlwZT0z&t=1&cb=636258761603192812'
1	BR50976	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://corporate.bigyellow.co.uk/~/media/Files/B/Big-Yellow/documents/csr-reports/CSR-2017.pdf'': 'http://corporate.bigyellow.co.uk/~/media/Files/B/Big-Yellow/documents/csr-reports/CSR-2017.pdf'
1	BR70500	Wrong content-type 'text/html' for 'https://reports.omv.com/en/sustainability-report/2019/reporting-annexes/gri-content-index.html'
1	BR65240	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://www.crcgas.com/curtal/Social/report/201907/P020190801391111666905.pdf'': 'http://www.crcgas.com/curtal/Social/report/201907/P020190801391111666905.pdf'
1	BR58386	Wrong content-type 'text/html' for 'http://www.bunge.com.br/sustentabilidade/2018/port/downloads/Bunge_RS18.pdf'
1	BR66468	Wrong content-type 'text/html' for 'https://www.airport.kr/co_file/ko/file01/SR_2019_eng.pdf'
1	BR55084	Wrong content-type 'text/html' for 'https://www.phillipbank.com.kh/annual-report/'
1	BR62507	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://hospitaluvrocio.es/memoria17/gri-indice'': 'https://www.hospitaluvrocio.es/memoria17/gri-indice'
1	BR61132	file exception for 'http://corporateresponsibility.linde.com/cr-report/2017/the-report/gri-global-compact-index.html' int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
1	BR51949	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://www.danone.com/en/for-all/integrated-report.html'': 'http://www.danone.com/en/for-all/integrated-report/'
1	BR70647	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://revgroup.com/resources/media/user/1579287018-2020REVGroupSustainabilityReport.pdf'': 'https://www.revgroup.com/resources/media/user/1579287018-2020REVGroupSustainabilityReport.pdf'
1	BR59172	file exception for 'http://i.dell.com/sites/doccontent/corporate/corp-comm/en/Documents/dell-gri-18.pdf' int() argument must be a string, a bytes-like object or a real number, not 'NoneType'
1	BR53100	<class 'aiohttp.client_exceptions.ClientResponseError'> - '403, message='Forbidden', url='https://production-web-asics.demandware.net/on/demandware.static/-/Sites-haglofs-eu-Library/default/ve70073b2ad0a88d563b3a3c909019e15f84a3509/sustainability-report/Haglofs-Sustainability-Report-2016.pdf'': 'https://production-web-asics.demandware.net/on/demandware.static/-/Sites-haglofs-eu-Library/default/ve70073b2ad0a88d563b3a3c909019e15f84a3509/sustainability-report/Haglofs-Sustainability-Report-2016.pdf'
1	BR54770	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://www.conad.it/conad/home/global/cooperative/nordiconad/impegno-sociale/bilancio-DI-SOSTENIBILITA-/text-column/0/text_files/file0/03_BilancioConad_2016_STAMPA.pdf'': 'http://www.conad.it/conad/home/global/cooperative/nordiconad/impegno-sociale/bilancio-DI-SOSTENIBILITA-/text-column/0/text_files/file0/03_BilancioConad_2016_STAMPA.pdf'
1	BR68329	<class 'aiohttp.client_exceptions.ClientResponseError'> - '403, message='Forbidden', url='https://www.hospitalsiriolibanes.org.br/institucional/relatorio-sustentabilidade/SiteAssets/Paginas/edicao-2017/Relat%C3%B3rio%20de%20Sustentabilidade%202018.pdf'': 'https://www.hospitalsiriolibanes.org.br/institucional/relatorio-sustentabilidade/SiteAssets/Paginas/edicao-2017/Relat%C3%B3rio%20de%20Sustentabilidade%202018.pdf'
1	BR54995	time-out for 'http://www.paperlinx.com/investor-information/annual-and-interim-reports.htm' Connection timeout to host http://www.paperlinx.com/investor-information/annual-and-interim-reports.htm
1	BR65421	time-out for 'https://www.dixonscarphone.com/sites/dixons-carphone/files/results%20and%20presentation/20190709-dixons-carphone-plc-ara-final.pdf' Connection timeout to host https://www.dixonscarphone.com/sites/dixons-carphone/files/results%20and%20presentation/20190709-dixons-carphone-plc-ara-final.pdf
1	BR59325	time-out for 'http://www.dynamicpcb.com/en/file/2017%20%E5%AE%9A%E7%A9%8E%E9%9B%BB%E5%AD%90%E4%BC%81%E6%A5%AD%E7%A4%BE%E6%9C%83%E8%B2%AC%E4%BB%BB%E5%A0%B1%E5%91%8A%E6%9B%B8.pdf' Connection timeout to host http://www.dynamicpcb.com/en/file/2017%20%E5%AE%9A%E7%A9%8E%E9%9B%BB%E5%AD%90%E4%BC%81%E6%A5%AD%E7%A4%BE%E6%9C%83%E8%B2%AC%E4%BB%BB%E5%A0%B1%E5%91%8A%E6%9B%B8.pdf
1	BR68881	time-out for 'http://www.tskb.com.tr/i/content/3483_1_TSKB_2018_EFR.pdf' Connection timeout to host http://www.tskb.com.tr/i/content/3483_1_TSKB_2018_EFR.pdf
1	BR51306	time-out for 'http://relatorio2016.cemig.com.br/impressao_pt.pdf' Connection timeout to host http://relatorio2016.cemig.com.br/impressao_pt.pdf
1	BR59207	time-out for 'https://www.landcorp.com.au/Documents/Corporate/Publications/Annual-Sustainability-Report-2017-18-LandCorp.pdf' Connection timeout to host https://www.landcorp.com.au/Documents/Corporate/Publications/Annual-Sustainability-Report-2017-18-LandCorp.pdf
1	BR55414	time-out for 'http://sustentabilidad.renault.com.ar/Reporte-Sustentabilidad-Renault-Argentina-2015-2016.pdf' Connection timeout to host http://sustentabilidad.renault.com.ar/Reporte-Sustentabilidad-Renault-Argentina-2015-2016.pdf
1	BR54111	Wrong content-type 'text/html' for 'http://www.lge.co.kr/lgekr/company/about/sustainability/op_report.jsp'
1	BR50329	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://alpina.com/corporativo/sostenibilidad/informes-de-sostenibilidad'': 'http://informedesostenibilidadalpina.com'
1	BR56852	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://www.unisq.edu.au/about-usq/governance-leadership/plans-reports'': 'https://www.usq.edu.au/about-usq/governance-leadership/plans-reports'
1	BR54072	Wrong content-type 'text/html' for 'http://www.launchtech.com.tw/image/File/2016%E6%98%8E%E6%8F%9A%E4%BC%81%E6%A5%AD%E7%A4%BE%E6%9C%83%E8%B2%AC%E4%BB%BB%E5%A0%B1%E5%91%8A%E6%9B%B8.pdf'
1	BR53521	Wrong content-type 'text/html' for 'https://www.infineon.com/cms/de/about-infineon/sustainability/csr-reporting/'
1	BR62405	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://www.sanofi.cn/-/media/Project/One-Sanofi-Web/Websites/Asia-Pacific/Sanofi-CN/Home/csr/Ethics-and-Transparency/2017-Sanofi-CSR-Reportpdf.pdf'': 'https://www.sanofi.cn/-/media/Project/One-Sanofi-Web/Websites/Asia-Pacific/Sanofi-CN/Home/csr/Ethics-and-Transparency/2017-Sanofi-CSR-Reportpdf.pdf'
1	BR55285	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://www.purplegroup.co.za/hubfs/Purple%20Group%20IAR_2017.pdf'': 'https://www.purplegroup.co.za/hubfs/Purple%20Group%20IAR_2017.pdf'
1	BR56722	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://www.txccorp.com/download/csr/csr_report_2016_en.pdf/'': 'http://www.txccorp.com/download/csr/csr_report_2016_en.pdf'
1	BR61306	<class 'aiohttp.client_exceptions.ClientResponseError'> - '403, message='Forbidden', url='https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/201804/6c969acbc8_3d1699e994.pdf'': 'https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/201804/6c969acbc8_3d1699e994.pdf'
1	BR56472	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://www.oebu.ch/admin/data/files/member_report/file/14/adecco-csr-2015.pdf?lm=1480008484.pdf'': 'https://www.oebu.ch/admin/data/files/member_report/file/14/adecco-csr-2015.pdf?lm=1480008484.pdf'
1	BR55279	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://pumaenergy.com/media/565987/2016-puma-energy-annual-report.pdf'': 'https://www.pumaenergy.com/media/565987/2016-puma-energy-annual-report.pdf'
1	BR52568	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://florexcr.com/images/florex_GRI2016.pdf'': 'https://www.florexcr.com/images/florex_GRI2016.pdf'
1	BR50958	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://www.bfi.co.id/media/kcfinder/docs/sustainability-report/sr2016-en.pdf'': 'https://www.bfi.co.id/media/kcfinder/docs/sustainability-report/sr2016-en.pdf'
1	BR64052	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://www.aeciworld.com/reports/ar-2018/pdf/full-iar.pdf'': 'https://www.aeciworld.com/reports/ar-2018/pdf/full-iar.pdf'
1	BR51539	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='http://www.chobeholdings.co.bw/Resources/chobe-holdings-2017-annual-report.pdf'': 'http://www.chobeholdings.co.bw/Resources/chobe-holdings-2017-annual-report.pdf'
1	BR60624	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='http://www.acobrasil.org.br/sustentabilidade/assets/pdfs/A%C3%A7o%20Brasil%20%C2%BB%20Completo.pdf'': 'http://www.acobrasil.org.br/sustentabilidade/assets/pdfs/A%C3%A7o%20Brasil%20%C2%BB%20Completo.pdf'
1	BR56229	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='File not found', url='https://www.sveaskog.se/om-sveaskog/hallbarhet/hallbarhetsrapportering-enligt-gri/'': 'http://sveaskog.se/om-sveaskog/hallbarhet/hallbarhetsrapportering-enligt-gri/'
1	BR57190	Wrong content-type 'text/html' for 'http://www.yageo.com/exep/pages/download/CSR2016.pdf'
1	BR52332	<class 'aiohttp.client_exceptions.ClientResponseError'> - '410, message='Gone', url='https://www.eos-imaging.com/sites/default/files/documentation/170509_DDR%202016%20EN_0.pdf'': 'http://www.eos-imaging.com/sites/default/files/documentation/170509_DDR%202016%20EN_0.pdf'
1	BR67201	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://www.mimo.com.ar/wp-content/uploads/2019/07/MImo&Co_MemoriaRSE.pdf'': 'https://www.mimo.com.ar/wp-content/uploads/2019/07/MImo&Co_MemoriaRSE.pdf'
1	BR56013	<class 'aiohttp.client_exceptions.ClientResponseError'> - '403, message='Forbidden', url='https://www.sofidel.com'': 'http://www.sofidel.com/wp-content/uploads/2017/04/Sofidel_Bilancio_Integrato_2016.pdf?5a2905'
1	BR68962	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://www.up.com/cs/groups/public/@uprr/@corprel/documents/up_pdf_nativedocs/pdf_up_2018_build_america_rep.pdf'': 'https://www.up.com/cs/groups/public/@uprr/@corprel/documents/up_pdf_nativedocs/pdf_up_2018_build_america_rep.pdf'
1	BR68468	Wrong content-type 'text/html' for 'https://www.stockholmvattenochavfall.se/globalassets/pdf1/rapporter/svoa/hallbarhetsredovisning_2018.pdf'
1	BR56451	<class 'aiohttp.client_exceptions.ClientConnectorDNSError'> - 'Cannot connect to host assets.tetrapak.com:443 ssl:default [getaddrinfo failed]': 'https://assets.tetrapak.com/static/ar/documents/tetra%20pak_2017_sustainability-baja2.pdf'
1	BR71010	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://www.venturafoods.com/wp-content/uploads/2019/07/VF.CSR_.7-2019.web_.FINAL_-2.pdf'': 'https://www.venturafoods.com/wp-content/uploads/2019/07/VF.CSR_.7-2019.web_.FINAL_-2.pdf'
1	BR53774	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://www.joshin.co.jp/quality/csr/pdf/2017_JCSR.pdf'': 'http://www.joshin.co.jp/quality/csr/pdf/2017_JCSR.pdf'
1	BR53132	<class 'aiohttp.client_exceptions.ClientResponseError'> - '403, message='Forbidden', url='http://www.hangseng.com/cms/ccd/csr/2016/en/index.html'': 'http://www.hangseng.com/cms/ccd/csr/2016/en/index.html'
1	BR58144	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://www.spuerkeess.lu/fileadmin/mediatheque/documents/about_us/RSE/RSE_mep_finale_4_04_18_INTERNET_02.pdf'': 'https://www.bcee.lu/fileadmin/mediatheque/documents/about_us/RSE/RSE_mep_finale_4_04_18_INTERNET_02.pdf'
1	BR60063	<class 'aiohttp.client_exceptions.ClientResponseError'> - '403, message='Forbidden', url='https://inwestor.intercars.com.pl/files//raporty/niefinansowe/IC_2017_raport_niefinansowy-EN.pdf'': 'http://inwestor.intercars.com.pl/files//raporty/niefinansowe/IC_2017_raport_niefinansowy-EN.pdf'
1	BR63576	<class 'aiohttp.client_exceptions.ClientConnectorDNSError'> - 'Cannot connect to host velcdn.azureedge.net:443 ssl:default [getaddrinfo failed]': 'https://velcdn.azureedge.net/~/media/com/csr%202017/sustainability%20report%202017.pdf'
1	BR51684	<class 'aiohttp.client_exceptions.ClientResponseError'> - '403, message='Forbidden', url='https://www.colgate.com/en-in'': 'http://www.colgate.co.in/Colgate/IN/Corp_v2/Investor/FinancialReports/annual-report-2016-17.pdf'
1	BR59666	<class 'aiohttp.client_exceptions.ClientConnectorDNSError'> - 'Cannot connect to host ri.fibria.com.br:443 ssl:default [getaddrinfo failed]': 'https://ri.fibria.com.br/ptb/7243/619179.pdf'
1	BR65989	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://www.gerresheimer.com/fileadmin/Gerresheimer_Website/Investor_Relations/Berichte/20190214_Gerresheimer_Annual_Report_2018_EN_g.pdf'': 'https://www.gerresheimer.com/fileadmin/Gerresheimer_Website/Investor_Relations/Berichte/20190214_Gerresheimer_Annual_Report_2018_EN_g.pdf'
1	BR51556	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://www.chuden.co.jp/english/resource/corporate/ecsr_report_2017.pdf'': 'http://www.chuden.co.jp/english/resource/corporate/ecsr_report_2017.pdf'
1	BR70687	<class 'aiohttp.client_exceptions.ClientResponseError'> - '403, message='Forbidden', url='https://www.sareb.es/file_source/web/contentinstances/documents/files/informe_anual_actividad_sareb_2019.pdf'': 'https://www.sareb.es/file_source/web/contentinstances/documents/files/informe_anual_actividad_sareb_2019.pdf'
1	BR53634	Wrong content-type 'text/html' for 'http://www.isaholdings.co.za/#'
1	BR68984	<class 'aiohttp.client_exceptions.ClientConnectorError'> - 'Cannot connect to host 37:443 ssl:default [Netværksplaceringen kan ikke nås. Du kan finde flere oplysninger om fejlfinding i forbindelse med netværk i Hjælp]': 'https://37'
1	BR66792	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://www.kokuyo.co.jp/csr/data/pdf/e2019csr.pdf'': 'https://www.kokuyo.co.jp/csr/data/pdf/e2019csr.pdf'
1	BR60510	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://www.iav.com/sites/default/files/IAV_Nachhaltigkeitsbericht2017.pdf'': 'https://www.iav.com/sites/default/files/IAV_Nachhaltigkeitsbericht2017.pdf'
1	BR64611	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://www.billerud.com/globalassets/billerudkorsnas/sustainability/our-sustainability-report/bk_gri_18_190401.pdf'': 'https://www.billerudkorsnas.com/globalassets/billerudkorsnas/sustainability/our-sustainability-report/bk_gri_18_190401.pdf'
1	BR57783	<class 'aiohttp.client_exceptions.ClientConnectorSSLError'> - 'Cannot connect to host ostrava.arcelormittal.com:443 ssl:default [[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1028)]': 'http://ostrava.arcelormittal.com/pdf/Zprava-o-udrzitelnosti-za-rok-2017.pdf'
1	BR69084	<class 'aiohttp.client_exceptions.ClientResponseError'> - '500, message='Internal Server Error', url='https://www.viridor.co.uk/siteassets/document-repository/policies/sustainabilityreport2019.pdf'': 'https://www.viridor.co.uk/siteassets/document-repository/policies/sustainabilityreport2019.pdf'
1	BR56607	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://www.tel.com/environment/ehsreport/document/2017/sr2017_all.pdf'': 'http://www.tel.com/environment/ehsreport/document/2017/sr2017_all.pdf'
1	BR69578	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://www.bondalti.com/contents/ficheiros/bondalti-rel-int-2019-en.pdf'': 'http://www.bondalti.com/contents/ficheiros/bondalti-rel-int-2019-en.pdf'
1	BR52835	<class 'aiohttp.client_exceptions.ClientConnectorDNSError'> - 'Cannot connect to host annual-report.globe.com.ph:80 ssl:default [getaddrinfo failed]': 'http://annual-report.globe.com.ph/2016.html'
1	BR52835	<class 'aiohttp.client_exceptions.ClientResponseError'> - '403, message='Forbidden', url='https://www.globe.com.ph/content/dam/globe/brie/About-us/investor-relations/documents/Annual-and-Sustainability-Reports/GLO-2016-Annual-and-Sustainability-Report.pdf'': 'https://www.globe.com.ph/content/dam/globe/brie/About-us/investor-relations/documents/Annual-and-Sustainability-Reports/GLO-2016-Annual-and-Sustainability-Report.pdf'
1	BR70981	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://about.usps.com/what/corporate-social-responsibility/sustainability/report/2020/usps-annual-sustainability-report.pdf'': 'https://about.usps.com/what/corporate-social-responsibility/sustainability/report/2020/usps-annual-sustainability-report.pdf'
1	BR66548	<class 'aiohttp.client_exceptions.ClientConnectorError'> - 'Cannot connect to host www.invepar.com.br:80 ssl:default [Fjerncomputeren afviste netværksforbindelsen]': 'http://www.invepar.com.br/www.invepar.com.br/Relat%c3%b3rio%20anual%202018abec.pdf?Arquivo=+FDzv42sw+6SuJq9VMMKHQ=='
1	BR60658	<class 'aiohttp.client_exceptions.ClientResponseError'> - '404, message='Not Found', url='https://group.intesasanpaolo.com/scriptIsir0/si09/contentData/view/link?id=CNT-05-0000000508745'': 'https://www.group.intesasanpaolo.com/scriptIsir0/si09/contentData/view/link?id=CNT-05-0000000508745'
1	BR53549	Wrong content-type 'text/html' for 'http://www.inpev.org.br/Sistemas/Saiba-Mais/Relatorio/inpEV_RS2016.pdf'
1	BR69478	Wrong content-type 'text/html' for 'https://www.attica-group.com/images/corporate-responsibility/flipbook_csr_2019_en/pdf/CR_Report_Attica%20Group_2019_English.pdf'
1	BR58317	Wrong content-type 'text/html' for 'https://www.bovishomesgroup.co.uk/~/media/Files/B/Bovis-Homes-Group/documents/annual-report/final-results-2017-presentation.pdf'
